,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,carrier,origin,destination,departureDateTime,arrivalDateTime,duration,creationTime,lastModifiedTime
0,0,0,0,00000000-0000-0000-0000-000000000008,14,ARBUE,BRRIG,2016-05-21,2016-05-25,4,2024-04-14T22:26:08.769658,2024-04-14T22:30:39.352309
1,1,1,1,00000000-0000-0000-0000-000000000018,14,BRRIG,BRIOA,2016-05-29,2016-06-02,4,2024-04-14T22:26:08.769658,2024-04-14T22:30:39.359406
